Entidad ,Preescolar,Primaria,Secundaria,Media superior,Superior,Total
Aguascalientes,55561,160119,73544,58871,54832,402927
Baja California,107624,390222,184507,150361,130526,963240
Baja California Sur,29351,85672,39203,34467,25584,214277
Campeche,38165,100482,44556,37881,28227,249311
Coahuila de Zaragoza,128591,338573,154343,126055,111557,859119
Colima,25271,75793,34814,32217,21038,189133
Chiapas,296580,796602,303663,216564,80172,1693581
Chihuahua,126056,418256,190095,146846,135759,1017012
Ciudad de México,277342,805705,436827,466232,560680,2546786
Durango,71923,220565,95015,79007,52887,519397
Guanajuato,248493,708039,316464,253244,160847,1687087
Guerrero,176599,442877,194054,145323,77571,1036424
Hidalgo,112916,349453,171896,141038,107645,882948
Jalisco,316384,934860,413690,324729,250416,2240079
México,557038,1842353,891889,670652,460578,4422510
Michoacán de Ocampo,201868,551140,227095,167199,113379,1260681
Morelos,68085,204874,97878,80753,65278,516868
Nayarit,47006,139290,62705,51727,34791,335519
Nuevo León,209278,580968,271699,191339,229086,1482370
Oaxaca,160350,466204,223189,150426,75656,1075825
Puebla,289047,778502,351442,306989,259764,1985744
Querétaro,89914,259326,119163,89754,83845,642002
Quintana Roo,60058,194728,87069,68079,38651,448585
San Luis Potosí,123966,309309,150016,110480,79563,773334
Sinaloa,110783,320593,154507,142524,130393,858800
Sonora,98357,307526,149479,116165,117377,788904
Tabasco,120516,288847,134995,112440,73520,730318
Tamaulipas,115895,376791,174615,140199,136013,943513
Tlaxcala,51985,152880,74396,56597,37521,373379
Veracruz de Ignacio de la Llave,256950,834274,388304,316662,197118,1993308
Yucatán,87957,229232,107801,95237,79927,600154
Zacatecas,74718,198266,88143,64616,51443,477186
