ClaveEnt,Entidad,ClaveMun,Municipio,pobtot,pobmas,pobfem,p_0a2,p_0a2_m,p_0a2_f,p_3ymas,p_3ymas_m,p_3ymas_f,p_5ymas,p_5ymas_m,p_5ymas_f,p_12ymas,p_12ymas_m,p_12ymas_f,p_15ymas,p_15ymas_m,p_15ymas_f,p_18ymas,p_18ymas_m,p_18ymas_f,p_3a5,p_3a5_m,p_3a5_f,p_6a11,p_6a11_m,p_6a11_f,p_8a14,p_8a14_m,p_8a14_f,p_12a14,p_12a14_m,p_12a14_f,p_15a17,p_15a17_m,p_15a17_f,p_18a24,p_18a24_m,p_18a24_f,p_15a49_f,p_60ymas,p_60ymas_m,p_60ymas_f,rel_h_m,pob0_14,pob15_64,pob65_mas,prom_hnv,pnacent,pnacent_m,pnacent_f,pnacoe,pnacoe_m,pnacoe_f,pres2005,pres2005_m,pres2005_f,presoe05,presoe05_m,presoe05_f,p3ym_hli,p3ym_hli_m,p3ym_hli_f,p3hlinhe,p3hlinhe_m,p3hlinhe_f,p3hli_he,p3hli_he_m,p3hli_he_f,p5_hli,p5_hli_nhe,p5_hli_he,phog_ind,pcon_lim,pclim_mot,pclim_vis,pclim_leng,pclim_aud,pclim_mot2,pclim_men,pclim_men2,psin_lim,p3a5_noa,p3a5_noa_m,p3a5_noa_f,p6a11_noa,p6a11_noam,p6a11_noaf,p12a14noa,p12a14noam,p12a14noaf,p15a17a,p15a17a_m,p15a17a_f,p18a24a,p18a24a_m,p18a24a_f,p8a14an,p8a14an_m,p8a14an_f,p15ym_an,p15ym_an_m,p15ym_an_f,p15ym_se,p15ym_se_m,p15ym_se_f,p15pri_in,p15pri_inm,p15pri_inf,p15pri_co,p15pri_com,p15pri_cof,p15sec_in,p15sec_inm,p15sec_inf,p15sec_co,p15sec_com,p15sec_cof,p18ym_pb,p18ym_pb_m,p18ym_pb_f,graproes,graproes_m,graproes_f,pea,pea_m,pea_f,pe_inac,pe_inac_m,pe_inac_f,pocupada,pocupada_m,pocupada_f,pdesocup,pdesocup_m,pdesocup_f,psinder,pder_ss,pder_imss,pder_iste,pder_istee,pder_segp,p12ym_solt,p12ym_casa,p12ym_sepa,pcatolica,pncatolica,potras_rel,psin_relig,tothog,hogjef_m,hogjef_f,pobhog,phogjef_m,phogjef_f,vivtot,tvivhab,tvivpar,vivpar_hab,tvivparhab,vivpar_des,vivpar_ut,ocupvivpar,prom_ocup,pro_ocup_c,vph_pisodt,vph_pisoti,vph_1dor,vph_2ymasd,vph_1cuart,vph_2cuart,vph_3ymasc,vph_c_elec,vph_s_elec,vph_aguadv,vph_aguafv,vph_excsa,vph_drenaj,vph_nodren,vph_c_serv,vph_snbien,vph_radio,vph_tv,vph_refri,vph_lavad,vph_autom,vph_pc,vph_telef,vph_cel,vph_inter,tam_loc
15,México,15001,Acambay,60918,29449,31469,3885,1951,1934,56916,27440,29476,54142,26038,28104,44092,20986,23106,39796,18835,20961,35353,16560,18793,4170,2120,2050,8654,4334,4320,10092,5049,5043,4296,2151,2145,4443,2275,2168,7707,3534,4173,15866,5629,2578,3051,94,21005,35775,4021,3,58013,28131,29882,2402,1067,1335,52103,24743,27360,839,415,424,8563,4049,4514,39,5,34,8238,3906,4332,8532,39,8211,18999,2727,1343,818,272,368,172,112,247,57796,2372,1212,1160,201,110,91,285,152,133,2701,1347,1354,1693,735,958,309,176,133,5277,1621,3656,5166,1713,3453,7517,3652,3865,6801,3255,3546,1912,1110,802,10433,5382,5051,6602,3102,3500,7,7,7,19427,15081,4346,24386,5733,18653,17388,13277,4111,2039,1804,235,17771,42897,1488,1228,687,37784,17112,23525,3389,56804,3282,20,285,14179,11057,3122,60834,50301,10533,18984,14207,18956,14179,14207,3076,1701,60834,4,1,13180,948,5794,8349,670,3282,10170,13468,665,10795,3337,9405,8292,5727,7253,1132,10051,12011,6983,3528,3956,1180,2600,3920,496,
15,México,15002,Acolman,136558,68392,68166,7541,3922,3619,124733,62176,62557,119070,59381,59689,99089,49032,50057,91419,45067,46352,83591,41053,42538,8471,4238,4233,17173,8906,8267,19056,9933,9123,7670,3965,3705,7828,4014,3814,15856,7984,7872,37543,7817,3684,4133,100,40855,86314,5105,2,78274,40114,38160,53834,26054,27780,107634,53768,53866,10323,4950,5373,1769,909,860,7,0,7,1518,781,737,1762,7,1514,4701,4843,2347,1091,453,471,252,309,850,123902,4094,2030,2064,376,201,175,403,236,167,5709,2875,2834,3952,1970,1982,277,167,110,2632,812,1820,3343,1217,2126,7412,3386,4026,13776,6464,7312,5183,3003,2180,27345,14335,13010,30613,14959,15654,9,9,9,51556,35127,16429,45092,11691,33401,48889,33048,15841,2667,2079,588,55747,74084,35578,9322,1466,23232,32162,58023,8249,114251,9539,202,4309,32477,25978,6499,130039,107714,22325,43145,33781,41841,32477,33762,6298,3066,130039,4,1,31009,1217,13285,18981,2369,5954,23886,32149,128,25108,7130,31885,31805,408,24852,154,28596,31514,27267,23154,12475,8386,12157,24438,4194,
15,México,15003,Aculco,44823,22043,22780,2835,1430,1405,41962,20599,21363,39926,19548,20378,32663,15904,16759,29627,14363,15264,26553,12774,13779,3072,1565,1507,6227,3130,3097,7204,3627,3577,3036,1541,1495,3074,1589,1485,5833,2782,3051,11823,3613,1696,1917,97,15170,27000,2627,3,38468,19080,19388,6197,2885,3312,38415,18724,19691,985,457,528,3140,1497,1643,2,1,1,3032,1440,1592,3123,2,3018,6966,2554,1464,795,221,334,132,148,159,42083,1605,833,772,136,61,75,199,107,92,1650,823,827,721,318,403,189,103,86,3328,1117,2211,3184,1172,2012,5837,2879,2958,6159,2964,3195,1481,852,629,8415,4396,4019,3803,1764,2039,7,7,7,15592,11805,3787,16948,4012,12936,14594,10941,3653,998,864,134,10481,34278,3140,371,981,29429,12155,17918,2550,41679,2394,1,416,10510,8177,2333,44776,36340,8436,12945,10518,12937,10510,10516,1329,1098,44776,4,1,9614,880,4369,6116,735,2315,7429,9777,699,8879,1608,6889,6282,4180,5808,569,7677,9280,6288,3365,3909,756,941,4914,188,
15,México,15004,Almoloya de Alquisiras,14856,7091,7765,907,466,441,13948,6625,7323,13263,6261,7002,10742,4963,5779,9630,4398,5232,8565,3868,4697,1012,543,469,2194,1119,1075,2576,1299,1277,1112,565,547,1065,530,535,1763,760,1003,3931,1429,654,775,91,5225,8597,1033,3,14104,6749,7355,538,247,291,12591,5827,6764,159,72,87,19,7,12,0,0,0,10,4,6,19,0,10,56,500,259,95,69,61,51,35,54,14318,476,270,206,33,18,15,119,70,49,575,262,313,289,134,155,102,68,34,1108,427,681,855,349,506,2210,1010,1200,2264,1007,1257,460,246,214,2157,1055,1102,1474,653,821,7,7,7,4854,3620,1234,5816,1293,4523,4632,3424,1208,222,196,26,3613,11223,96,203,258,9690,3853,5897,977,14374,329,0,96,3622,2683,939,14856,11604,3252,5250,3622,5250,3622,3622,1069,559,14856,4,1,3325,294,1411,2206,118,683,2816,3482,134,2571,1045,2822,2743,844,2162,197,2489,3045,2208,1598,1480,393,794,1909,138,
15,México,15005,Almoloya de Juárez,147653,73783,73870,9900,5056,4844,137369,68534,68835,130441,65055,65386,107279,53291,53988,98296,48856,49440,89367,44372,44995,10155,5101,5054,19935,10142,9793,21967,11112,10855,8983,4435,4548,8929,4484,4445,19631,9695,9936,40397,8676,3933,4743,100,48973,92328,5968,3,138006,69091,68915,8646,4220,4426,127130,63391,63739,2086,981,1105,840,392,448,4,2,2,641,286,355,834,4,640,2117,4325,2211,1211,477,524,232,230,342,139898,5957,2972,2985,652,328,324,867,359,508,4944,2517,2427,3015,1526,1489,469,264,205,8879,2733,6146,8523,2842,5681,16682,7863,8819,21074,10098,10976,4560,2800,1760,25843,14374,11469,18816,9561,9255,7,8,7,51587,38692,12895,52212,11516,40696,48703,36130,12573,2884,2562,322,48534,95365,21917,3043,5041,61351,36548,63649,6825,139099,5395,71,938,32743,27268,5475,144394,124921,19473,41935,32842,41836,32743,32840,7171,1922,144394,4,1,29908,2700,12748,19861,2130,6873,23549,31570,1029,24790,7797,25520,23482,8848,19705,1316,25530,29931,17583,9324,10516,3886,5202,16830,1889,
15,México,15006,Almoloya del Río,10886,5199,5687,653,318,335,10213,4872,5341,9758,4636,5122,8213,3863,4350,7598,3569,4029,6985,3264,3721,685,357,328,1315,652,663,1474,734,740,615,294,321,613,305,308,1455,690,765,3059,937,413,524,91,3268,6904,694,2,10038,4833,5205,746,318,428,9476,4488,4988,117,56,61,54,25,29,1,0,1,36,17,19,54,1,36,146,456,244,153,37,73,18,18,31,10321,328,174,154,21,11,10,41,24,17,459,225,234,418,196,222,26,11,15,359,105,254,372,124,248,941,420,521,1271,590,681,379,237,142,1777,879,898,2573,1198,1375,9,9,9,4545,2866,1679,3607,966,2641,4388,2747,1641,157,119,38,4764,6069,938,306,1111,3289,2642,4796,757,10342,407,4,67,2425,1901,524,10874,8792,2082,2950,2429,2946,2425,2429,320,201,10874,4,1,2228,189,920,1501,229,440,1750,2403,16,2407,18,2390,2379,42,2346,25,2180,2334,1555,1468,981,595,1027,1148,362,
15,México,15007,Amanalco,22868,11224,11644,1552,768,784,21253,10424,10829,20171,9875,10296,16554,8069,8485,14890,7237,7653,13256,6415,6841,1595,811,784,3104,1544,1560,3739,1851,1888,1664,832,832,1634,822,812,3202,1534,1668,5985,1786,831,955,96,7915,13611,1279,3,21854,10770,11084,898,400,498,19538,9500,10038,396,191,205,1970,942,1028,2,1,1,1801,858,943,1953,2,1791,4476,917,447,235,108,127,29,16,90,21771,932,480,452,95,53,42,138,65,73,951,490,461,437,200,237,104,53,51,2154,708,1446,1971,678,1293,3538,1701,1837,3044,1536,1508,893,492,401,3382,1850,1532,1702,821,881,6,6,6,7335,5827,1508,9086,2162,6924,6950,5470,1480,385,357,28,6391,16375,388,228,440,15209,5917,9175,1431,21434,1201,1,68,5238,4122,1116,22803,18827,3976,6269,5256,6251,5238,5254,605,408,22803,4,1,4754,466,2159,3051,358,1385,3463,4852,361,4223,995,4256,3804,1392,3133,596,2963,4200,1685,1026,955,266,662,1347,131,
15,México,15008,Amatepec,26334,12799,13535,1558,794,764,24761,12000,12761,23709,11458,12251,19788,9480,10308,17868,8515,9353,15953,7566,8387,1520,788,732,3453,1732,1721,4303,2147,2156,1920,965,955,1915,949,966,3180,1532,1648,6185,3816,1833,1983,95,8451,14976,2892,3,24788,12043,12745,1050,513,537,22631,10748,11883,304,152,152,13,8,5,0,0,0,3,0,3,12,0,2,15,2118,1126,590,232,354,122,74,203,24141,633,335,298,76,43,33,230,101,129,970,478,492,670,303,367,148,85,63,3421,1333,2088,3649,1572,2077,3209,1550,1659,3571,1732,1839,884,489,395,3508,1716,1792,2662,1288,1374,6,6,6,8437,6703,1734,11267,2722,8545,8140,6432,1708,297,271,26,6861,19444,337,453,1677,16642,7212,10728,1829,24587,1127,8,260,6508,5005,1503,26324,21671,4653,8884,6511,8881,6508,6511,1918,455,26324,4,1,5877,617,2132,4362,245,1113,5131,6307,188,1571,4925,5202,5156,1334,1341,395,3766,5124,4926,3243,2208,696,1734,3740,325,
15,México,15009,Amecameca,48421,23240,25181,2640,1353,1287,45427,21710,23717,43518,20732,22786,36683,17334,19349,33952,15941,18011,31086,14513,16573,2879,1451,1428,5865,2925,2940,6583,3331,3252,2731,1393,1338,2866,1428,1438,6091,2962,3129,13669,4219,1919,2300,92,14115,30968,2984,2,42861,20623,22238,5062,2366,2696,42469,20210,22259,695,306,389,156,75,81,1,0,1,76,33,43,154,1,76,407,1778,1015,394,173,192,104,86,166,46034,1259,646,613,164,91,73,154,82,72,2012,1007,1005,1710,833,877,108,64,44,1223,436,787,1368,515,853,3130,1277,1853,5774,2614,3160,1288,715,573,9889,4974,4915,11180,5259,5921,9,9,9,18383,12679,5704,18142,4552,13590,17437,11903,5534,946,776,170,24812,23136,8545,2166,1411,7434,12404,20687,3527,43238,3200,108,556,11246,8624,2622,48013,38319,9694,13046,11366,12926,11246,11360,1093,587,48013,4,1,10203,1004,4469,6751,1157,2658,7381,11120,91,10801,397,11024,10399,795,10073,139,9574,10776,7733,6245,3360,2396,3762,7064,1508,
15,México,15010,Apaxco,27521,13576,13945,1633,832,801,25823,12710,13113,24733,12157,12576,20990,10267,10723,19374,9433,9941,17667,8581,9086,1631,830,801,3202,1613,1589,3784,1929,1855,1616,834,782,1707,852,855,3651,1815,1836,7810,2096,1038,1058,97,8082,17973,1401,2,21689,10812,10877,5703,2702,3001,23967,11775,12192,620,296,324,60,36,24,0,0,0,40,22,18,60,0,40,192,1240,680,364,137,214,85,67,112,26134,768,379,389,101,53,48,120,65,55,1195,580,615,881,427,454,49,34,15,980,354,626,1148,444,704,2484,1148,1336,2834,1327,1507,954,532,422,5622,3001,2621,5569,2652,2917,8,9,8,10725,7574,3151,10184,2649,7535,10208,7130,3078,517,444,73,12781,14620,8524,269,583,4804,6771,12592,1599,24875,1266,114,488,6494,5385,1109,27461,23453,4008,7361,6514,7341,6494,6514,556,291,27461,4,1,6344,138,1809,4659,262,1017,5182,6396,78,5212,1270,6210,6255,200,5053,98,5094,6221,5150,4157,3005,1456,2048,3742,817,
